
{time(millis):6546;temperature(*C):18.71;pressure(hPa):970.22;altitude(m):364.61;IMU(deg) X:337.44;Y:46.25;Z:-62.75;}
{time(millis):6670;temperature(*C):18.71;pressure(hPa):970.18;altitude(m):364.96;IMU(deg) X:336.50;Y:46.88;Z:-62.69;}
{time(millis):6794;temperature(*C):18.72;pressure(hPa):970.12;altitude(m):365.47;IMU(deg) X:335.88;Y:47.06;Z:-62.75;}
{time(millis):6917;temperature(*C):18.72;pressure(hPa):970.09;altitude(m):365.73;IMU(deg) X:335.44;Y:46.75;Z:-62.50;}
{time(millis):7041;temperature(*C):18.72;pressure(hPa):970.10;altitude(m):365.57;IMU(deg) X:335.13;Y:46.69;Z:-62.50;}
{time(millis):7164;temperature(*C):18.72;pressure(hPa):970.18;altitude(m):364.89;IMU(deg) X:334.75;Y:46.63;Z:-62.50;}
{time(millis):7288;temperature(*C):18.72;pressure(hPa):970.22;altitude(m):364.54;IMU(deg) X:334.19;Y:46.81;Z:-62.56;}
{time(millis):7412;temperature(*C):18.72;pressure(hPa):970.24;altitude(m):364.41;IMU(deg) X:333.88;Y:46.75;Z:-62.81;}
{time(millis):7536;temperature(*C):18.72;pressure(hPa):970.21;altitude(m):364.71;IMU(deg) X:333.56;Y:46.44;Z:-62.75;}
{time(millis):7660;temperature(*C):18.72;pressure(hPa):970.24;altitude(m):364.44;IMU(deg) X:333.38;Y:46.00;Z:-62.56;}
{time(millis):7783;temperature(*C):18.72;pressure(hPa):970.27;altitude(m):364.18;IMU(deg) X:333.06;Y:45.75;Z:-62.63;}
{time(millis):7907;temperature(*C):18.72;pressure(hPa):970.31;altitude(m):363.77;IMU(deg) X:332.69;Y:45.56;Z:-62.69;}
{time(millis):8034;temperature(*C):18.72;pressure(hPa):970.34;altitude(m):363.50;IMU(deg) X:332.06;Y:45.69;Z:-62.69;}
{time(millis):8155;temperature(*C):18.72;pressure(hPa):970.37;altitude(m):363.31;IMU(deg) X:331.38;Y:45.88;Z:-62.56;}
{time(millis):8279;temperature(*C):18.72;pressure(hPa):970.40;altitude(m):363.04;IMU(deg) X:330.88;Y:45.94;Z:-62.75;}
{time(millis):8402;temperature(*C):18.72;pressure(hPa):970.39;altitude(m):363.11;IMU(deg) X:330.38;Y:46.19;Z:-63.25;}
{time(millis):8526;temperature(*C):18.72;pressure(hPa):970.35;altitude(m):363.42;IMU(deg) X:329.69;Y:46.56;Z:-63.44;}
{time(millis):8650;temperature(*C):18.72;pressure(hPa):970.31;altitude(m):363.77;IMU(deg) X:329.25;Y:46.75;Z:-63.44;}
{time(millis):8773;temperature(*C):18.73;pressure(hPa):970.31;altitude(m):363.79;IMU(deg) X:328.81;Y:46.94;Z:-63.31;}
{time(millis):8897;temperature(*C):18.73;pressure(hPa):970.33;altitude(m):363.60;IMU(deg) X:328.25;Y:47.38;Z:-62.94;}
{time(millis):9021;temperature(*C):18.73;pressure(hPa):970.40;altitude(m):363.04;IMU(deg) X:328.19;Y:47.19;Z:-63.13;}
{time(millis):9145;temperature(*C):18.73;pressure(hPa):970.43;altitude(m):362.74;IMU(deg) X:328.06;Y:46.94;Z:-63.19;}
{time(millis):9269;temperature(*C):18.73;pressure(hPa):970.45;altitude(m):362.61;IMU(deg) X:328.00;Y:46.69;Z:-63.25;}
{time(millis):9393;temperature(*C):18.73;pressure(hPa):970.42;altitude(m):362.86;IMU(deg) X:327.81;Y:46.38;Z:-63.38;}
{time(millis):9517;temperature(*C):18.73;pressure(hPa):970.41;altitude(m):362.91;IMU(deg) X:327.31;Y:46.56;Z:-63.06;}
{time(millis):9639;temperature(*C):18.73;pressure(hPa):970.42;altitude(m):362.84;IMU(deg) X:327.13;Y:46.38;Z:-63.06;}
{time(millis):9763;temperature(*C):18.73;pressure(hPa):970.45;altitude(m):362.61;IMU(deg) X:326.94;Y:46.06;Z:-63.31;}
{time(millis):9887;temperature(*C):18.73;pressure(hPa):970.49;altitude(m):362.22;IMU(deg) X:327.00;Y:45.69;Z:-63.56;}
{time(millis):10011;temperature(*C):18.73;pressure(hPa):970.52;altitude(m):361.96;IMU(deg) X:327.00;Y:45.25;Z:-63.56;}
{time(millis):10136;temperature(*C):18.73;pressure(hPa):970.52;altitude(m):362.01;IMU(deg) X:326.88;Y:45.00;Z:-63.81;}
{time(millis):10261;temperature(*C):18.73;pressure(hPa):970.52;altitude(m):361.95;IMU(deg) X:326.75;Y:44.50;Z:-63.63;}
{time(millis):10386;temperature(*C):18.73;pressure(hPa):970.55;altitude(m):361.72;IMU(deg) X:326.50;Y:44.50;Z:-64.00;}
